district,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Xuhui,31.21278,121.56217,4500,1,0,1,0,20,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,4500,1,0,1,0,25,0,attached lane house,residential,0,0,0,0,0,0,0,0,0
Changning,31.21278,121.56217,4500,1,0,1,0,36,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,0,1,0,36,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,4500,2,1,1,0,45,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Minhang,31.21278,121.56217,4500,2,1,1,0,71,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,4500,1,0,1,0,36,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.223028,121.457237,4500,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,4500,1,1,1,0,32,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.20525693,121.4495566,4500,1,0,1,0,35,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,4500,1,1,1,0,35,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,4500,2,2,1,1,40,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Pudong,31.21278,121.56217,4500,1,1,1,0,37,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,1,1,0,35,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.211342,121.458633,4500,1,0,1,0,35,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4500,1,0,1,0,23,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,4500,1,0,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4500,1,0,1,0,20,0,attached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4500,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,0,1,0,15,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Xuhui,31.21278,121.56217,4500,1,1,1,0,30,0,detached lane house,multi-use,1,1,0,1,0,0,0,0,3
Huangpu,31.21278,121.56217,4500,1,0,1,0,30,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Jing'an,31.21278,121.56217,4500,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,2,1,1,0,38,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,0,1,0,15,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,4500,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,1,1,0,28,0,detached lane house,residential,1,1,0,1,0,1,0,0,4
Huangpu,31.21278,121.56217,4500,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.24863,121.47429,4500,1,1,1,0,30,0,detached lane house,multi-use,1,1,0,0,0,0,0,0,2
Huangpu,31.21278,121.56217,4500,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,4500,1,1,1,0,42,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,4500,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,31.21278,121.56217,4500,1,1,1,0,35,0,public housing,residential,0,1,1,1,0,0,0,0,3
Minhang,31.21278,121.56217,4550,2,1,1,0,82,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Minhang,31.21278,121.56217,4600,2,1,1,0,61,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21269,121.440646,4600,1,0,1,0,21,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21873,121.488134,4600,1,1,1,0,58,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,4600,2,2,3,0,60,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,4600,1,1,1,0,60,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,4600,1,0,1,0,25,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,4600,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4600,1,1,1,0,58,0,attached lane house,residential,0,1,0,1,1,0,0,0,3
Jing'an,31.21278,121.56217,4600,1,1,1,0,30,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Xuhui,31.21278,121.56217,4600,2,1,1,0,55,0,public housing,residential,0,1,1,0,0,1,0,0,3
Huangpu,31.21278,121.56217,4600,1,1,1,0,60,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Pudong,31.21278,121.56217,4600,1,1,1,0,37,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,4600,1,1,1,0,35,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Jing'an,31.21278,121.56217,4600,1,0,1,0,12,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,4600,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4700,1,0,1,0,20,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,4700,1,1,1,0,46,0,public housing,residential,1,1,0,0,1,1,0,0,4
Huangpu,31.21278,121.56217,4700,1,1,1,0,50,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Minhang,31.21278,121.56217,4799,2,1,1,0,64,0,public housing,residential,0,1,1,0,1,0,0,0,3
Minhang,31.21278,121.56217,4800,2,1,1,0,74,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,4800,1,1,1,1,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4800,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.214093,121.456784,4800,1,1,1,0,35,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
